"UID","ID","PID","BASISFORPROPERTYSEIZURE","INSERTDATETIME"
"93563c",93563,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"93588c",93588,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"93657c",93657,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"93728c",93728,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"93734c",93734,1,"Contraband","2024-11-13 10:21:57.617"
"93737c",93737,1,"Evidence","2024-11-13 10:21:57.617"
"94018c",94018,1,"Safekeeping as allowed by law/statute","2024-11-13 10:21:57.617"
"94078c",94078,1,"Safekeeping as allowed by law/statute","2024-11-13 10:21:57.617"
"94130c",94130,1,"Evidence","2024-11-13 10:21:57.617"
"94153c",94153,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"94158c",94158,1,"Contraband","2024-11-13 10:21:57.617"
"94158c",94158,1,"Evidence","2024-11-13 10:21:57.617"
"94165c",94165,1,"Evidence","2024-11-13 10:21:57.617"
"94327c",94327,1,"Contraband","2024-11-13 10:21:57.617"
"94419c",94419,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"94493c",94493,1,"Evidence","2024-11-13 10:21:57.617"
"94502c",94502,1,"Contraband","2024-11-13 10:21:57.617"
"94661c",94661,1,"Contraband","2024-11-13 10:21:57.617"
"94783c",94783,1,"Contraband","2024-11-13 10:21:57.617"
"94831c",94831,1,"Contraband","2024-11-13 10:21:57.617"
"94836c",94836,1,"Evidence","2024-11-13 10:21:57.617"
"94844c",94844,1,"Evidence","2024-11-13 10:21:57.617"
"94844c",94844,1,"Contraband","2024-11-13 10:21:57.617"
"94846c",94846,1,"Contraband","2024-11-13 10:21:57.617"
"94864c",94864,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"94864c",94864,1,"Contraband","2024-11-13 10:21:57.617"
"94879c",94879,1,"Evidence","2024-11-13 10:21:57.617"
"94949c",94949,1,"Evidence","2024-11-13 10:21:57.617"
"94957c",94957,1,"Contraband","2024-11-13 10:21:57.617"
"94957c",94957,3,"Contraband","2024-11-13 10:21:57.617"
"94959c",94959,1,"Evidence","2024-11-13 10:21:57.617"
"94959c",94959,1,"Contraband","2024-11-13 10:21:57.617"
"94952c",94952,1,"Contraband","2024-11-13 10:21:57.617"
"94968c",94968,1,"Contraband","2024-11-13 10:21:57.617"
"95043c",95043,1,"Contraband","2024-11-13 10:21:57.617"
"95185c",95185,10,"Impound of vehicle","2024-11-13 10:21:57.617"
"95193c",95193,1,"Evidence","2024-11-13 10:21:57.617"
"95443c",95443,1,"Safekeeping as allowed by law/statute","2024-11-13 10:21:57.617"
"95497c",95497,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"95561c",95561,1,"Evidence","2024-11-13 10:21:57.617"
"95695c",95695,1,"Contraband","2024-11-13 10:21:57.617"
"95695c",95695,1,"Evidence","2024-11-13 10:21:57.617"
"95740c",95740,1,"Evidence","2024-11-13 10:21:57.617"
"95780c",95780,1,"Contraband","2024-11-13 10:21:57.617"
"95782c",95782,1,"Evidence","2024-11-13 10:21:57.617"
"95891c",95891,1,"Evidence","2024-11-13 10:21:57.617"
"95897c",95897,1,"Evidence","2024-11-13 10:21:57.617"
"95923c",95923,1,"Contraband","2024-11-13 10:21:57.617"
"96087c",96087,1,"Contraband","2024-11-13 10:21:57.617"
"96087c",96087,1,"Evidence","2024-11-13 10:21:57.617"
"96225c",96225,1,"Evidence","2024-11-13 10:21:57.617"
"96266c",96266,1,"Evidence","2024-11-13 10:21:57.617"
"96362c",96362,1,"Evidence","2024-11-13 10:21:57.617"
"96390c",96390,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"96462c",96462,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"96502c",96502,1,"Evidence","2024-11-13 10:21:57.617"
"96509c",96509,1,"Contraband","2024-11-13 10:21:57.617"
"96509c",96509,1,"Evidence","2024-11-13 10:21:57.617"
"96704c",96704,1,"Contraband","2024-11-13 10:21:57.617"
"96704c",96704,1,"Evidence","2024-11-13 10:21:57.617"
"96735c",96735,1,"Contraband","2024-11-13 10:21:57.617"
"96748c",96748,1,"Evidence","2024-11-13 10:21:57.617"
"96748c",96748,1,"Contraband","2024-11-13 10:21:57.617"
"96780c",96780,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"96945c",96945,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"97185c",97185,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"97192c",97192,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"97196c",97196,1,"Contraband","2024-11-13 10:21:57.617"
"97216c",97216,1,"Contraband","2024-11-13 10:21:57.617"
"97220c",97220,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"97227c",97227,1,"Evidence","2024-11-13 10:21:57.617"
"97521c",97521,1,"Evidence","2024-11-13 10:21:57.617"
"97521c",97521,1,"Contraband","2024-11-13 10:21:57.617"
"97562c",97562,1,"Contraband","2024-11-13 10:21:57.617"
"97597c",97597,1,"Evidence","2024-11-13 10:21:57.617"
"97687c",97687,1,"Contraband","2024-11-13 10:21:57.617"
"97723c",97723,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"97770c",97770,1,"Contraband","2024-11-13 10:21:57.617"
"97770c",97770,1,"Evidence","2024-11-13 10:21:57.617"
